Comune,Cratere Centro Italia 2016,Variaz
Montelibretti,0,1.0697174258597275
Montelparo,1,-12.493361433107598
Montelupone,0,17.440021091816938
Montemaggiore al Metauro,0,-6.773035381743751
Montemarciano,0,1.3734373687960033
Montemonaco,1,-16.34050620527691
Montenero Sabino,0,-14.309988901817317
Monteprandone,0,0.23789826834537384
Montepulciano,0,-2.6579429406607473
Monterchi,0,12.437235793334834
Montereale,1,12.566205685089887
Monterosi,0,58.92277376389583
Monterubbiano,0,-5.120266513634845
Montesilvano,0,-4.465775408963263
Montone,0,-19.287217390292064
Montopoli di Sabina,0,-5.161991165048159
Montorio Romano,0,-40.31231040904042
Montorio al Vomano,1,-9.49530332890894
Montottone,0,39.63605147184058
Moresco,0,-2.1857678688913365
Morlupo,0,25.399867733929504
Morro Reatino,0,12.906078498806153
Morro d'Alba,0,11.51877341427778
Morro d'Oro,0,6.572028341433491
Morrovalle,0,-1.1918158677242143
Mosciano Sant'Angelo,0,14.48218813315623
Moscufo,0,-0.37186622732507724
Muccia,1,-27.784281504126128
Narni,0,-1.3627639252972898
Navelli,0,9.178506243504504
Nazzano,0,17.62852057126135
Nepi,0,29.217179553619367
Nereto,0,16.126022898428076
Nerola,0,-36.97968979817582
Nespolo,0,0.4792452445152586
Nocciano,0,9.960029673123017
Nocera Umbra,0,-13.60472204160113
None,0,27.931414858308358
Norcia,1,-30.123006467122664
Notaresco,0,0.22805146881347965
Numana,0,-15.488376452975473
Ocre,0,6.644665553958051
Ofena,0,-8.81878031043553
Offagna,0,10.607034818609577
Offida,1,-3.254333147205888
Onano,0,-8.081001705607058
Orciano di Pesaro,0,-2.4467288847226047
Oriolo Romano,0,12.168285961270763
Orsogna,0,11.992868074309339
Orte,0,5.992088908912949
Ortezzano,1,-9.70625909073518
Ortona,0,4.321081588956536
Orvieto,0,-1.5099790867386125
Orvinio,0,-48.4337101991345
Osimo,0,1.078607286943813
Ostra,0,-3.961561726796946
Ostra Vetere,0,-2.171912920038225
Otricoli,0,54.00459710940411
Ovindoli,0,-11.584445290796081
Paciano,0,-12.288389484941066
Paganico Sabino,0,-0.06509803504665869
Palmiano,1,-25.922825744797525
Panicale,0,9.789845059689268
Parrano,0,22.246844306939845
Passignano sul Trasimeno,0,4.026583764901474
Pedaso,0,-1.0822316637431604
Peglio,0,-10.361614765904283
Penna San Giovanni,1,-18.0947924864916
Penna Sant'Andrea,0,5.789686259519322
Penna in Teverina,0,0.1905486917245844
Pennabilli,0,-14.739545924615399
Pennapiedimonte,0,-17.937520602842948
Penne,0,-6.758225468933513
Pergola,0,-9.55794171389527
Perugia,0,-0.2246909108444177
Pescara,0,-5.2808488697683575
Pescorocchiano,0,-39.13097862622841
Pescosansonesco,0,-5.006201425431994
Petrella Salto,0,-19.88816551028405
Petriano,0,9.723101076058398
Petriolo,1,-4.562742889706651
Petritoli,0,13.547847568705048
Piagge,0,-13.707983144577899
Piandimeleto,0,4.212150811706387
Pianella,0,2.4735455972847977
Piansano,0,3.8999212455122376
Picciano,0,-2.2593769376189727
Piegaro,0,-6.266610501781063
Pietracamela,0,-22.28256090857936
Pietralunga,0,1.274744467085471
Pietranico,0,-4.5482555647254115
Pieve Santo Stefano,0,-3.647505149307532
Pieve Torina,1,-34.89234328956607
Pievebovigliana,1,-32.57768015810518
Pineto,0,-5.974678055664877
Piobbico,0,-5.842565016415214
Pioraco,1,-7.184033628723656
Pizzoli,0,-5.197364987722099
Poggio Bustone,1,-7.4277151787125195
Poggio Catino,0,0.6677620235189302
Poggio Mirteto,0,6.358453148102811
Poggio Moiano,0,-18.13022915785237
Poggio Nativo,0,16.702785892705286
Poggio Picenze,0,-1.4116474486892323
Poggio San Lorenzo,0,-9.386491644571894
Poggio San Marcello,0,47.50439003415295
Poggio San Vicino,1,-18.802620273894362
Poggiodomo,1,-28.88547375812407
Poggiofiorito,0,-7.283229266571907
Polino,1,-4.774770337953034
Pollenza,1,30.613669081665794
Polverigi,0,15.993642819067619
Ponzano Romano,0,17.74990318377421
Ponzano di Fermo,0,0.9808385448400769
Popoli,0,8.521603319684075
Porano,0,-0.08414787508956226
Porto Recanati,0,-15.599261656489224
Porto San Giorgio,0,-7.9415328220596475
Porto Sant'Elpidio,0,-3.2845004775853615
Posta,1,-34.63011741494831
Potenza Picena,0,-2.310628639064215
Pozzaglia Sabina,0,-22.37034376570594
Prata d'Ansidonia,0,3.4433963264957996
Preci,1,-39.69520276565556
Pretoro,0,-12.512698476385028
Proceno,0,14.382176187183315
Radicofani,0,1.4464596031992396
Rapagnano,0,18.631848597199966
Rapino,0,-9.480482921680567
Recanati,0,-3.113925242386917
Rieti,1,9.86374260232065
Rignano Flaminio,0,21.00598735165314
Ripa Teatina,0,5.4517597062604395
Ripatransone,0,-2.061343207597606
Ripe San Ginesio,1,4.259285876768305
Rivodutri,1,-9.220276791071008
Rocca Santa Maria,1,-19.048173809178866
Rocca Sinibalda,0,-7.894626745253647
Rocca di Cambio,0,8.931175741978322
Rocca di Mezzo,0,5.527126450647932
Roccacasale,0,-21.620387925277225
Roccafluvione,1,-16.408525830695282
Roccamontepiano,0,-8.549515244090248
Roccamorice,0,-17.722797289554617
Roccantica,0,-4.641628026914483
Ronciglione,0,-10.790349669594473
Rosciano,0,11.960129485212583
Roseto degli Abruzzi,0,4.105021284051112
Rosora,0,-9.51451755711727
Rotella,1,15.779014763074015
Salisano,0,-24.483643287659934
Salle,0,-14.823518436807362
Saltara,0,-10.026478294733304
San Benedetto del Tronto,0,-5.981740548730864
San Benedetto in Perillis,0,-18.810126997389283
San Casciano dei Bagni,0,-4.540401028121943
San Costanzo,0,-8.19847622274016
San Demetrio ne' Vestini,0,-12.016908451174201
San Gemini,0,6.255108203011238
