"SP_ID","assoc_comuni"
"2480 1","Corinaldo"
"2483 1","Corinaldo"
"2484 1","Corinaldo"
"2490 1","Serra de' Conti"
"2492 1","Rosora"
"2502 1","Montecarotto"
"2512 1","Arcevia"
"2514 1","Corinaldo"
"2516 1","Mergo"
"2524 1","Serra San Quirico"
"2526 1","Serra de' Conti"
"2532 1","Corinaldo"
"2533 1","Serra San Quirico"
"2548 1","San Paolo di Jesi"
"2549 1","Serra San Quirico"
"2550 1","Maiolati Spontini"
"2551 1","Cupramontana"
"2552 1","Maiolati Spontini"
"2553 1","Castelplanio"
"2554 1","Castelbellino"
"2555 1","Monte Roberto"
"2556 1","Maiolati Spontini"
"2557 1","Cingoli"
"2558 1","Maiolati Spontini"
"2559 1","Monte Roberto"
"2560 1","Staffolo"
"2561 1","Jesi"
"2562 1","Rosora"
"2563 1","Castelbellino"
"2564 1","Rosora"
"2565 1","Cingoli"
"2566 1","Castelbellino"
"2567 1","Jesi"
"2568 1","Monte Roberto"
"2569 1","Castelplanio"
"2570 1","Cupramontana"
"2571 1","Jesi"
"2572 1","Castelbellino"
"2573 1","Castelplanio"
"2574 1","Maiolati Spontini"
"2575 1","Castelplanio"
"2576 1","Cupramontana"
"2577 1","Cupramontana"
"2578 1","Maiolati Spontini"
"2579 1","Rosora"
"2580 1","Cupramontana"
"2581 1","Castelplanio"
"2582 1","Castelplanio"
"2583 1","Castelplanio"
"2584 1","Staffolo"
"2585 1","Staffolo"
"2586 1","Castelbellino"
"2587 1","Castelplanio"
"2588 1","Cingoli"
"2589 1","Cingoli"
"2590 1","Monte Roberto"
"2591 1","Monte Roberto"
"2592 1","Castelbellino"
"2593 1","Jesi"
"2594 1","Apiro"
"2595 1","Poggio San Vicino"
"2596 1","Apiro"
"2597 1","Cingoli"
"2598 1","Cingoli"
"2599 1","Cingoli"
"2600 1","Cingoli"
"2601 1","Cingoli"
"2602 1","Cingoli"
"2603 1","Cingoli"
"2604 1","Cingoli"
"2605 1","Cingoli"
"2606 1","Cingoli"
"2607 1","Cingoli"
"2608 1","Cingoli"
"2609 1","Cingoli"
"2610 1","Cingoli"
"2611 1","Cingoli"
"2612 1","Cingoli"
"2613 1","Cingoli"
"2614 1","Poggio San Vicino"
"2615 1","Cingoli"
"2616 1","Cingoli"
"2617 1","Apiro"
"2618 1","Poggio San Vicino"
"2619 1","Cingoli"
"2620 1","Cingoli"
"2621 1","Cingoli"
"2622 1","Cingoli"
"2623 1","Cingoli"
"2624 1","Cingoli"
"2625 1","Cingoli"
"2626 1","Apiro"
"2627 1","Cingoli"
"2628 1","Cingoli"
"2629 1","Cingoli"
"2630 1","Cingoli"
"2631 1","Apiro"
"2632 1","Cingoli"
"2633 1","Cingoli"
"2634 1","Cingoli"
"2635 1","Apiro"
"2636 1","Cingoli"
"2637 1","Cingoli"
"2638 1","Senigallia"
"2639 1","Trecastelli"
"2640 1","Senigallia"
"2641 1","Senigallia"
"2642 1","Senigallia"
"2643 1","Trecastelli"
"2644 1","Senigallia"
"2645 1","Trecastelli"
"2646 1","Monsano"
"2647 1","Ostra"
"2648 1","Jesi"
"2650 1","Montecarotto"
"2651 1","Ostra"
"2652 1","Ostra"
"2654 1","Senigallia"
"2655 1","Senigallia"
"2656 1","Montemarciano"
"2657 1","Poggio San Marcello"
"2658 1","Belvedere Ostrense"
"2659 1","Monte San Vito"
"2660 1","Monsano"
"2661 1","Morro d'Alba"
"2662 1","Monte San Vito"
"2663 1","Belvedere Ostrense"
"2664 1","Monte San Vito"
"2665 1","Ostra"
"2666 1","Trecastelli"
"2667 1","Senigallia"
"2668 1","Ostra"
"2669 1","Ostra"
"2670 1","Ostra"
"2671 1","Monsano"
"2672 1","Monsano"
"2673 1","Senigallia"
"2674 1","Ostra"
"2675 1","Castelplanio"
"2676 1","Ostra"
"2677 1","Montecarotto"
"2678 1","Ostra"
"2679 1","Senigallia"
"2680 1","Belvedere Ostrense"
"2681 1","Trecastelli"
"2682 1","San Marcello"
"2683 1","Montemarciano"
"2684 1","Senigallia"
"2685 1","Ostra"
"2686 1","Montecarotto"
"2687 1","Jesi"
"2688 1","San Marcello"
"2689 1","Morro d'Alba"
"2690 1","Jesi"
"2691 1","Jesi"
"2692 1","Monte San Vito"
"2693 1","San Marcello"
"2694 1","Senigallia"
"2695 1","Senigallia"
"2696 1","Belvedere Ostrense"
"2697 1","Trecastelli"
"2698 1","Montemarciano"
"2699 1","Senigallia"
"2700 1","Ostra"
"2701 1","Jesi"
"2702 1","Ostra"
"2703 1","Poggio San Marcello"
"2704 1","San Marcello"
"2705 1","Montecarotto"
"2707 1","Senigallia"
"2708 1","Senigallia"
"2709 1","Trecastelli"
"2710 1","Ostra"
"2711 1","Ostra"
"2712 1","Monte San Vito"
"2713 1","Ostra Vetere"
"2714 1","Senigallia"
"2715 1","Trecastelli"
"2716 1","Monsano"
"2717 1","Montemarciano"
"2718 1","Ostra Vetere"
"2719 1","Jesi"
"2720 1","Monte San Vito"
"2721 1","Jesi"
"2722 1","Montemarciano"
"2723 1","San Marcello"
"2724 1","Jesi"
"2726 1","Ostra Vetere"
"2727 1","Morro d'Alba"
"2728 1","Montemarciano"
