COMUNE,2015-04,2015-05,2015-09,2016-04,2016-05,2016-08,2016-09,2016-10,2017-04,2017-05,2017-09,2017-10,2018-04
Loro Piceno,0,-6.645301992164524,-14.523525714831676,-3.4132290650167763,-3.8631975253264117,1.2358471717716715,4.799864550880208,5.4017438506014575,7.433821542943873,5.068575378088549,1.3306853333431619,-7.981867771773915,3.0546219597453437
Macerata,0,1.7869696265201025,-5.265426731971899,8.795125033597575,7.958950311924218,-9.568728811349313,9.016218445520549,21.707149205206882,10.974898479791577,14.560992800912068,18.300542849434994,20.269394925487898,18.676440403834345
Magliano di Tenna,0,-3.221057728638352,-8.327250005808198,6.394785214427466,6.81903720795444,-2.1634459635899037,7.054801304461064,14.110886527294284,-2.3957183156458304,-7.784617190566495,8.46058187180627,1.6349416550808376,1.0381519401229442
Maiolati Spontini,0,1.9501492424611477,2.6600752409749684,6.415599975163406,7.8147278702997145,3.7663218101950773,7.421879125685749,4.757330313561519,7.116183073827768,7.420677270750116,4.23216826648936,-5.82006143542511,-1.4687830725085407
Massa Fermana,0,13.836491115510457,6.1527223282995,-7.195956795302813,7.628664151573525,24.953862822264597,28.353243876876142,24.58071405500538,31.413542392209493,31.035838978377058,36.033872459730325,16.18433860155258,21.22798286455482
Massignano,0,10.290374546138338,17.607264500795786,12.983994156147524,16.538625817661824,85.99002085163242,19.42589365275374,11.968184611447873,16.240606945287187,13.702470933144143,12.534756483299745,5.807103213912546,13.59199006431442
Matelica,0,-0.5181189965083458,1.8416413923710722,19.787790111745682,21.809049080834736,10.728976215935846,19.52707624370067,27.34554726556014,32.075196541438416,38.12010596622894,39.26267422903784,33.536506418983116,36.986408490906534
Mergo,0,2.277157939508453,-4.1790848555239535,0.10807251457593599,3.994819677589065,13.296797247390572,11.4777282025946,6.838422659023452,4.3443234463805664,4.969719091213851,-0.33163532179622046,3.976722147940063,-2.3614985365436416
Mogliano,0,17.092606070947845,9.405293651443126,11.119562635302337,16.11730357699426,4.573230454106008,8.398505856603311,6.925496553249193,15.905244389344384,15.718062924314236,15.113009721247609,-3.0129468630998324,11.923996199490752
Mondavio,0,6.818181818181815,-6.373938774245523,3.0942643149284264,7.93363078639152,11.574429115541918,33.45417363822272,-8.147425171965049,13.343558282208583,14.524075106897168,13.743260829150394,12.790481502137954,4.76312201772324
Monsampietro Morico,0,3.337622170492538,-21.842556719700962,-4.2100688517478915,0.15351855109579163,4.792515580055424,3.880102113871689,-2.5245159205181125,-8.821538008370403,-11.049449133300332,-18.40903233196828,-5.589875344163818,3.5188153127169115
Monsano,0,-0.6089430720060865,-11.01346149252682,23.06124268871055,22.558734278225593,9.465651856937578,22.625954423226272,23.08597402423086,26.593025428265925,25.627263538256255,18.492727343184935,16.885224146168852,12.172458748371724
Montalto delle Marche,0,2.0986862584054333,10.530051729591051,0.7468430862078423,5.441451678836519,17.646589584915528,5.828298511492927,0.9673045982831063,8.353210097396163,1.5767336851145657,-2.744587332125721,-0.3862842827300618,-0.8689989986611246
Montappone,0,-5.181239603743486,0.9184661219372457,-25.65384848249146,3.5863541535537244,41.70082039436829,40.86748622721229,26.721658519428914,42.51993246457225,39.51139636319604,41.78547988303339,29.601235394791093,29.856743468836594
Monte Cavallo,0,8.755279574611999,12.978759380913669,11.939556477576799,17.137840968779443,53.61037759091302,11.467919613754574,13.65242230840634,-43.39576482777974,-42.4028090574835,43.04894984134292,44.170702048510954,74.74834327488327
Monte Giberto,0,13.731424704143052,-4.990164246518565,-6.863821997715491,-6.5668300872252265,-10.596300949349764,-5.9741237621004935,-7.759029695502526,160.90481675533462,277.43739831568183,-1.4236604881871864,-8.713173549559855,-0.3210786055661499
Monte Rinaldo,0,-4.707279475214258,-2.2394223223835428,-5.799156862529779,4.463904224927334,16.95308291156754,7.413310657406392,1.7635280614595805,2.6825733267428262,-1.8734867588783666,-10.15473806791049,-4.981862051054349,-5.966463644512955
Monte Roberto,0,-5.686713307476444,-18.291981471138698,4.203708645041744,5.615859104956207,-3.266515528696651,3.1612670890776746,3.306124569785619,5.6661768354443565,4.507654390744959,-15.143500004161284,-4.733533089699858,-2.082348778574774
